grid_code,STATE_ABBR,latitude,longitude
11.0000000,MT,48.125838010000002,-115.449711969999996
11.0000000,MT,48.144216450000002,-115.319296440000002
11.0000000,MT,48.162474189999998,-115.188807089999997
12.0000000,MT,48.180611089999999,-115.058244340000002
12.0000000,MT,48.198627039999998,-114.927608629999995
11.0000000,MT,48.216521899999996,-114.796900379999997
12.0000000,MT,48.234295560000000,-114.666120039999996
12.0000000,MT,48.251947889999997,-114.535268029999997
21.0000000,MT,48.269478759999998,-114.404344800000004
21.0000000,MT,48.286888070000003,-114.273350780000001
21.0000000,MT,48.304175669999999,-114.142286409999997
11.0000000,MT,48.321341470000000,-114.011152150000001
12.0000000,MT,48.338385330000001,-113.879948420000005
11.0000000,MT,48.355307130000000,-113.748675689999999
11.0000000,MT,48.372106760000001,-113.617334380000003
11.0000000,MT,48.388784100000002,-113.485924960000006
11.0000000,MT,48.405339030000000,-113.354447870000001
21.0000000,MT,48.421771440000001,-113.222903560000006
21.0000000,MT,48.438081210000000,-113.091292490000001
21.0000000,MT,48.454268220000003,-112.959615110000001
21.0000000,MT,48.470332350000000,-112.827871869999996
21.0000000,MT,48.486273509999997,-112.696063240000001
31.0000000,MT,48.502091559999997,-112.564189679999998
31.0000000,MT,48.517786399999999,-112.432251629999996
31.0000000,MT,48.533357920000000,-112.300249570000005
31.0000000,MT,48.548806010000000,-112.168183959999993
31.0000000,MT,48.564130550000002,-112.036055250000004
31.0000000,MT,48.579331430000003,-111.903863930000000
31.0000000,MT,48.594408559999998,-111.771610449999997
31.0000000,MT,48.609361800000002,-111.639295290000007
31.0000000,MT,48.624191070000002,-111.506918909999996
31.0000000,MT,48.638896250000002,-111.374481790000004
31.0000000,MT,48.653477240000001,-111.241984389999999
31.0000000,MT,48.667933929999997,-111.109427199999999
31.0000000,MT,48.682266220000002,-110.976810689999994
31.0000000,MT,48.696473990000001,-110.844135339999994
31.0000000,MT,48.710557160000000,-110.711401609999996
31.0000000,MT,48.724515609999997,-110.578610010000006
31.0000000,MT,48.738349249999999,-110.445760989999997
31.0000000,MT,48.752057970000003,-110.312855060000004
31.0000000,MT,48.765641670000001,-110.179892690000003
31.0000000,MT,48.779100260000000,-110.046874360000004
31.0000000,MT,48.792433629999998,-109.913800559999999
31.0000000,MT,48.805641690000002,-109.780671780000006
31.0000000,MT,48.818724340000003,-109.647488519999996
31.0000000,MT,48.831681480000000,-109.514251250000001
31.0000000,MT,48.844513020000001,-109.380960470000005
31.0000000,MT,48.857218869999997,-109.247616669999999
31.0000000,MT,48.869798920000001,-109.114220340000003
12.0000000,MT,47.962426929999999,-115.942920479999998
12.0000000,MT,47.981254900000003,-115.812974420000003
