grid_code,degrees,metres,protected
0.7322943,0.1723420,1053.6745605,1
0.8911405,0.1586885,1051.2136230,1
0.9080434,0.0861196,1024.3464355,1
0.9471809,0.1054166,983.3848877,0
0.7580925,0.1140351,977.5685425,0
0.7219504,0.2279617,995.2744141,0
0.7768592,0.2668456,1043.6395264,0
0.8285555,0.2721467,1027.3302002,0
0.8191338,0.1598566,1000.0736694,0
0.7330920,0.0468229,1028.0072021,0
0.6050556,0.2435967,992.5233765,0
0.6014522,0.2472751,935.7939453,0
0.5945198,0.2011218,906.2283325,0
0.7160292,0.1882989,876.4418945,0
0.7507303,0.1430985,828.2172852,0
0.7612990,0.1172951,812.6117554,0
0.7506369,0.1601020,880.7722168,0
0.5373886,0.1536562,819.8370972,0
0.5781054,0.0910650,806.9016724,1
0.5428249,0.0497176,825.5961914,0
